Hotel Name,Address,Area,City,District,State,Pincode,Latitude,Longitude
Aloka Stay Inn,"C8 & C9, TNHB, Phase - I, Arcot Road",SATHUVACHARI,Vellore,VELLORE,Tamil Nadu,632009,12.937794299999997,79.16519890000001
Kurinji Amaze Farmstay," Forest Cliff drive",KURINJI ANDAVAR KOIL,Kodaikanal,DINDIGUL,Tamil Nadu,624101,10.25430499367021,77.49535643558218
Azza Heritage Home,"Darusalam road, kochangadi",CHULLICKAL,Ernakulam,ERNAKULAM,Kerala,682002,9.950206251574794,76.25989834603017
Pyolliv Chennai Thiruvallur,"180/14 Thiruvallur -Uthukottai Road, Gopalapuram",J.N ROAD,Thiruvallur,Tiruvallur,Tamil Nadu,602001,13.135982614623885,79.90841630583718
S K Residency," 922/923, 1st Main Road",KORAMANGALA,Bangalore,BENGALURU,Karnataka,560034,12.92982595445061," 77.63393085582076"
Grand Continent Hotels,"Sy. 74, ITPL Main Rd, near BEML Layout",BROOKEFIELD,Bangalore,BENGALURU,Karnataka,560037,12.961284937532442,77.71766397301208
Ayyans Park Inn,"1/222,Rajaji Salai",PUDUPAKKAM,Chennai,CHENNAI,Tamil Nadu,603103,12.808945249408252,80.19894708650854
Le Grace Kovalam,"Philip Garden, Plot No-4, Padavattamman Kovil St",THIRUVIDANTHAI,Chennai,CHENNAI,Tamil Nadu,603112,12.781265390319561,80.2525327485577
Coastal Inn,"12-11/1, Gygolupadu",EAST GODAVARI,Kakinada,KAKINADA,Andhra Pradesh,533005,16.99657742382545,82.23141049794106
Padma Priya A/C Residency ,"Palnadu Road,State Highway 89 ,near RTC bus stand ",GUNTUR,Vinukonda,GUNTUR,Andhra Pradesh,522647,16.053949020860774,79.73960509999999
Hotel Bashyam Park,"93+MFV, NO.181/1 Bypass road, Nenmeli ",SRIPERUMBUDUR,Chennai,KANCHIPURAM,Tamil Nadu,602105,12.969284213628496,79.95372199325345
